id,RFM_Overall,Segment
1,133,At Risk
10,543,Loyal
10000,514,Promising
100000,525,Promising
10001,121,Lost customers
10002,132,Hibernating customers
10004,311,New Customers
10005,331,About To Sleep
10006,421,New Customers
10007,253,At Risk
10008,454,Champions
10009,114,Cannot Lose Them
1001,455,Champions
10010,341,Potential Loyalist
10012,533,Potential Loyalist
10013,555,Champions
10014,215,Cannot Lose Them
10015,352,Potential Loyalist
10017,421,New Customers
10019,144,Cannot Lose Them
10020,113,Cannot Lose Them
10021,423,Potential Loyalist
10022,414,Promising
10023,312,About To Sleep
10024,141,Lost customers
10025,455,Champions
10026,413,Promising
10028,133,At Risk
10029,332,Hibernating customers
1003,513,Promising
10031,354,Loyal
10034,341,Potential Loyalist
10036,513,Promising
10037,334,Need Attention
1004,513,Promising
10041,424,Promising
10042,241,Hibernating customers
10042,241,About To Sleep
10043,212,Hibernating customers
10044,231,Hibernating customers
10044,231,About To Sleep
10046,425,Promising
10047,554,Champions
10048,234,At Risk
10049,131,Lost customers
10050,154,Cannot Lose Them
10051,514,Promising
10053,221,About To Sleep
10056,144,Cannot Lose Them
10057,345,Loyal
10058,113,Cannot Lose Them
10059,132,Hibernating customers
1006,254,At Risk
10060,531,Potential Loyalist
10064,332,Hibernating customers
10065,512,New Customers
10068,143,At Risk
10069,544,Champions
1007,213,About To Sleep
10070,154,Cannot Lose Them
10071,211,Hibernating customers
10073,432,Potential Loyalist
10074,554,Champions
10075,512,New Customers
10076,421,New Customers
10078,141,Lost customers
10081,345,Loyal
10082,331,About To Sleep
10085,343,Need Attention
10087,233,Hibernating customers
10089,342,Potential Loyalist
1009,245,At Risk
10090,443,Need Attention
10095,532,Potential Loyalist
10096,433,Potential Loyalist
10097,154,Cannot Lose Them
10098,143,At Risk
10099,345,Loyal
101,341,Potential Loyalist
1010,154,Cannot Lose Them
10100,355,Loyal
10101,313,Promising
10102,312,About To Sleep
10104,422,New Customers
10105,323,Potential Loyalist
10106,412,New Customers
10108,331,About To Sleep
10109,254,At Risk
1011,554,Champions
10110,343,Need Attention
10111,141,Lost customers
10112,252,At Risk
10113,141,Lost customers
10114,555,Champions
10115,134,At Risk
10116,234,At Risk
10117,124,At Risk
10118,323,Potential Loyalist
1012,221,About To Sleep
10120,522,Promising
10121,421,New Customers
10122,244,At Risk
10123,125,At Risk
10125,212,Hibernating customers
10126,141,Lost customers
10127,543,Loyal
1013,555,Champions
10130,353,Potential Loyalist
10132,145,At Risk
10133,323,Potential Loyalist
10134,132,Hibernating customers
10135,512,New Customers
10136,252,At Risk
10138,224,At Risk
10139,345,Loyal
1014,344,Loyal
10141,344,Loyal
10142,443,Need Attention
10145,155,Cannot Lose Them
10147,355,Loyal
10148,355,Loyal
1015,532,Potential Loyalist
10151,425,Promising
10152,131,Lost customers
10154,232,Hibernating customers
10155,235,At Risk
10156,343,Need Attention
10157,324,Need Attention
10159,243,At Risk
1016,213,About To Sleep
10160,524,Promising
10162,543,Loyal
10163,242,At Risk
10165,433,Potential Loyalist
10166,512,New Customers
10167,321,About To Sleep
10168,433,Potential Loyalist
10169,131,Lost customers
10174,445,Champions
10175,321,About To Sleep
10176,313,Promising
10177,134,At Risk
10178,334,Need Attention
10179,133,At Risk
10180,353,Potential Loyalist
10181,232,Hibernating customers
10182,345,Loyal
10183,455,Champions
10185,242,At Risk
10186,231,About To Sleep
10186,231,Hibernating customers
10188,241,About To Sleep
10188,241,Hibernating customers
1019,223,Hibernating customers
10190,545,Champions
10191,553,Potential Loyalist
10192,241,About To Sleep
10192,241,Hibernating customers
10193,452,Potential Loyalist
10194,111,Lost customers
10196,321,About To Sleep
10197,354,Loyal
10199,354,Loyal
102,244,At Risk
10200,542,Potential Loyalist
10201,444,Loyal
10202,212,Hibernating customers
10203,555,Champions
10204,222,Hibernating customers
10205,353,Potential Loyalist
10206,452,Potential Loyalist
10207,231,Hibernating customers
10207,231,About To Sleep
10208,214,Cannot Lose Them
10210,514,Promising
10211,233,Hibernating customers
10212,255,At Risk
10213,254,At Risk
10215,423,Potential Loyalist
10216,243,At Risk
10218,555,Champions
10219,211,Hibernating customers
1022,554,Champions
10220,331,About To Sleep
10221,211,Hibernating customers
10222,211,Hibernating customers
10224,452,Potential Loyalist
10227,121,Lost customers
10228,312,About To Sleep
10229,221,About To Sleep
10230,115,Cannot Lose Them
10232,524,Promising
10233,344,Loyal
10234,132,Hibernating customers
10236,554,Champions
10237,354,Loyal
10238,532,Potential Loyalist
10239,523,Promising
1024,242,At Risk
10241,555,Champions
10242,242,At Risk
10243,523,Promising
10245,511,New Customers
10246,152,At Risk
10248,512,New Customers
10249,113,Cannot Lose Them
1025,255,At Risk
10250,534,Need Attention
10251,331,About To Sleep
10252,244,At Risk
10253,355,Loyal
10255,241,About To Sleep
10255,241,Hibernating customers
10258,543,Loyal
10259,514,Promising
1026,244,At Risk
10260,242,At Risk
10262,521,Promising
10263,222,Hibernating customers
10264,411,New Customers
10265,443,Need Attention
10266,244,At Risk
10269,342,Potential Loyalist
1027,232,Hibernating customers
10270,311,New Customers
10272,243,At Risk
10273,245,At Risk
10274,324,Need Attention
10275,421,New Customers
10276,113,Cannot Lose Them
10277,231,Hibernating customers
10277,231,About To Sleep
10278,242,At Risk
1028,123,Hibernating customers
10280,355,Loyal
10282,245,At Risk
10283,244,At Risk
10284,514,Promising
10285,231,Hibernating customers
10285,231,About To Sleep
10286,121,Lost customers
10287,222,Hibernating customers
10288,445,Champions
10289,421,New Customers
1029,452,Potential Loyalist
10290,311,New Customers
10291,124,At Risk
10292,414,Promising
10293,323,Potential Loyalist
10295,113,Cannot Lose Them
10296,523,Promising
10297,455,Champions
10299,555,Champions
103,554,Champions
10300,455,Champions
10301,112,Lost customers
10303,122,Hibernating customers
10304,332,Hibernating customers
10305,132,Hibernating customers
10308,243,At Risk
10310,245,At Risk
10311,511,New Customers
10312,454,Champions
10313,122,Hibernating customers
10316,422,New Customers
10317,213,About To Sleep
10318,131,Lost customers
10321,152,At Risk
10324,414,Promising
10328,231,Hibernating customers
10328,231,About To Sleep
10329,241,About To Sleep
10329,241,Hibernating customers
1033,312,About To Sleep
10330,423,Potential Loyalist
10331,552,Potential Loyalist
10332,434,Need Attention
10334,544,Champions
10335,345,Loyal
10336,512,New Customers
10341,555,Champions
10342,421,New Customers
10343,255,At Risk
10346,555,Champions
10348,342,Potential Loyalist
1035,514,Promising
10351,555,Champions
10352,552,Potential Loyalist
10353,321,About To Sleep
10354,112,Lost customers
10356,313,Promising
10357,432,Potential Loyalist
10358,213,About To Sleep
10359,323,Potential Loyalist
1036,135,At Risk
10360,255,At Risk
10361,354,Loyal
10364,322,Hibernating customers
10365,544,Champions
10366,221,About To Sleep
10367,131,Lost customers
10368,322,Hibernating customers
10371,321,About To Sleep
10372,131,Lost customers
10373,112,Lost customers
10375,521,Promising
10376,415,Promising
10377,445,Champions
10378,341,Potential Loyalist
10379,235,At Risk
1038,443,Need Attention
10381,444,Loyal
10383,533,Potential Loyalist
10384,131,Lost customers
10385,454,Champions
10386,153,At Risk
10388,342,Potential Loyalist
10389,453,Potential Loyalist
10390,254,At Risk
10391,515,Promising
10392,443,Need Attention
10393,531,Potential Loyalist
10394,534,Need Attention
10395,355,Loyal
10398,215,Cannot Lose Them
10399,113,Cannot Lose Them
10400,111,Lost customers
10402,241,About To Sleep
10402,241,Hibernating customers
10403,412,New Customers
10404,315,Promising
10405,131,Lost customers
10406,533,Potential Loyalist
