brand,category,quantity
NULL,Accessories,1
NULL,Fashion Hoodies & Sweatshirts,1
NULL,Intimates,1
NULL,Outerwear & Coats,2
NULL,Plus,1
NULL,Socks,2
NULL,Socks & Hosiery,1
NULL,Tops & Tees,2
!it Jeans,Jeans,5
!it Jeans,Maternity,1
!it Jeans,Shorts,3
[BLANKNYC],Maternity,1
[BLANKNYC],Pants & Capris,5
[BLANKNYC],Shorts,5
007Lingerie,Active,1
007Lingerie,Intimates,1
007Lingerie,Sleep & Lounge,1
106Shades,Accessories,6
180s,Accessories,9
180s,Plus,2
180s,Socks & Hosiery,1
1veMoon,Fashion Hoodies & Sweatshirts,1
1WorldSarong,Swim,3
2(x)ist,Active,1
2(x)ist,Socks,2
2(x)ist,Swim,3
2(x)ist,Underwear,30
2b by bebe,Dresses,10
2b by bebe,Jeans,1
2b by bebe,Leggings,1
2b by bebe,Pants & Capris,6
2b by bebe,Shorts,6
2b by bebe,Skirts,3
2b by bebe,Sweaters,1
2b by bebe,Tops & Tees,5
2EROS,Swim,1
2XU,Active,10
2XU,Socks,3
2XU,Socks & Hosiery,2
34 Heritage,Jeans,2
35 Degree Below,Socks,2
'47 Brand,Fashion Hoodies & Sweatshirts,2
5 Seasons,Pants & Capris,3
5.11,Socks,1
525 America,Blazers & Jackets,2
525 America,Outerwear & Coats,2
555 Turnpike,Jeans,2
555 Turnpike,Pants,2
555 Turnpike,Swim,3
55DSL,Pants & Capris,1
55DSL,Shorts,2
55DSL,Sweaters,3
626 BLUE,Shorts,3
7 Diamonds,Fashion Hoodies & Sweatshirts,2
7 Diamonds,Outerwear & Coats,1
7 Diamonds,Suits & Sport Coats,4
7 Diamonds,Sweaters,2
7 Diamonds,Tops & Tees,1
7 For All Mankind,Jeans,98
7 For All Mankind,Pants,6
7 For All Mankind,Shorts,18
7 For All Mankind,Suits & Sport Coats,1
89th &#x0026; Madison,Sweaters,1
A Pea in the Pod,Maternity,26
A. Byer,Dresses,1
A. Byer,Outerwear & Coats,1
A. Byer,Pants & Capris,1
A. Byer,Skirts,1
A.B.S. by Allen Schwartz,Dresses,1
A.B.S. by Allen Schwartz,Intimates,1
A:X Armani Exchange,Accessories,1
A:X Armani Exchange,Fashion Hoodies & Sweatshirts,5
A:X Armani Exchange,Jeans,5
A:X Armani Exchange,Outerwear & Coats,4
A:X Armani Exchange,Pants,2
A:X Armani Exchange,Pants & Capris,1
A:X Armani Exchange,Shorts,3
A:X Armani Exchange,Sweaters,1
A:X Armani Exchange,Swim,3
A:X Armani Exchange,Tops & Tees,13
A:X Armani Exchange,Underwear,1
Abercrombie & Fitch,Sweaters,2
Abini,Suits & Sport Coats,5
Acne,Leggings,1
Active Products,Fashion Hoodies & Sweatshirts,5
Active Products,Tops & Tees,1
Activewear Apparel,Fashion Hoodies & Sweatshirts,14
Activewear Apparel,Shorts,3
Activewear Apparel,Sleep & Lounge,2
Acura,Sleep & Lounge,4
ADAR UNIFORMS,Skirts,3
Addison,Dresses,1
adidas,Active,63
adidas,Fashion Hoodies & Sweatshirts,1
adidas,Jumpsuits & Rompers,1
adidas,Outerwear & Coats,5
adidas,Socks,7
adidas,Tops & Tees,3
Adriana,Intimates,4
Adriana,Sleep & Lounge,3
Adrianna Papell,Dresses,6
ADVADRI,Intimates,4
ADVADRI,Underwear,2
Adventure Time,Tops & Tees,4
Aegean,Sleep & Lounge,3
Aerin Rose,Swim,1
Aero Tech Designs,Active,1
Aeropostale,Clothing Sets,1
Aeropostale,Fashion Hoodies & Sweatshirts,8
Aeropostale,Shorts,5
Aeropostale,Sweaters,1
Aeropostale,Tops & Tees,2
Aerosoles,Plus,1
Aerosoles,Socks & Hosiery,1
Affazy,Suits & Sport Coats,3
Affinitas Intimates,Intimates,6
Affliction,Fashion Hoodies & Sweatshirts,3
Affliction,Jeans,11
Affliction,Shorts,2
Aftco,Swim,3
AG Adriano Goldschmied,Jeans,24
AG Adriano Goldschmied,Pants,4
AG Adriano Goldschmied,Shorts,6
AG Adriano Goldschmied,Tops & Tees,1
Agave,Jeans,6
AGB,Dresses,2
Ahaarya,Leggings,5
Aimee Gowns,Maternity,1
Aimee Gowns,Sleep & Lounge,1
AJs,Plus,1
